Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As Of
Argentina,BVI,2/1/07,26641,77.9%,34217,3/14/07
Australia,BVI,3/15/07,10720,46.1%,23233,3/28/07
Austria,BVI,2/15/07,28296,89.2%,31732,2/22/07
Brazil,-,3/9/07,-,-,59880,7/1/07
Chile,BVI,2/22/07,-,-,3487,3/28/07
Ecuador,-,4/27/07,-,-,12094,5/13/07
France,BVI,1/3/07,534154,73.1%,731183,1/16/07
Germany,-,2/15/07,-,-,124189,3/7/07
Mexico,BVI,2/2/07,-,-,95227,7/5/07
Portugal,Lusomundo,2/8/07,39692,56.5%,70289,2/21/07
South Korea,-,4/12/07,289,46.8%,618,4/29/07
Spain,BVI,1/5/07,179862,37.6%,478064,2/15/07
United Kingdom,BVI,11/24/06,126975,37.9%,334670,2/22/07
