Country,Dist.,Release Date,Opening Wknd,% of Total,Total Gross,As Of
Argentina,UIP,11/22/07,19620,31.5%,62360,2/24/08
Australia,Roadshow,11/23/06,123205,29.7%,414285,3/14/07
Austria,WB,10/5/06,-,-,220917,12/14/06
Belgium,Victory,11/8/06,178681,35.9%,497041,12/3/06
Brazil,-,10/13/06,-,-,722788,10/22/06
Bulgaria,Diema,10/13/06,9419,27.7%,34040,1/7/07
Denmark,Scanbox,11/17/06,14856,81.4%,18244,11/19/06
Finland,-,12/29/06,-,-,111000,1/7/07
France,Metropolitan,11/8/06,1660506,59.6%,2787653,11/28/06
Germany,WB,10/5/06,285888,32.5%,880700,11/30/06
Greece,-,10/5/06,390250,41.6%,937400,10/22/06
Hong Kong,Deltamac,10/19/06,10277,11.3%,91213,10/24/06
Hungary,-,3/22/07,-,-,56694,4/8/07
Italy,01 Dist.,9/29/06,1079985,38.3%,2822578,10/22/06
Japan,Toho,10/14/06,1011632,20.9%,4829692,11/5/06
Lebanon,-,3/22/07,-,-,16723,4/15/07
Lithuania,-,1/19/07,10966,42.6%,25743,2/4/07
Mexico,PPI,12/7/07,-,-,373910,8/3/08
Netherlands,Moonlight,11/16/06,37739,39.1%,96459,11/26/06
Norway,Scanbox,12/26/06,14302,16.4%,87296,1/7/07
Poland,Kinowelt,8/17/07,73334,37.8%,194050,8/26/07
Portugal,Lusomundo,10/5/06,162309,42.6%,381368,11/15/06
Romania,MediaPro,10/13/06,11681,29.7%,39354,1/7/07
Russia - CIS,Cent. Part.,9/29/06,631148,49.9%,1265574,10/8/06
Serbia & Montenegro,Taramount,12/7/06,3032,16.8%,18095,5/13/07
South Africa (Entire Region),-,10/13/06,-,-,13603,10/15/06
South Korea,Studio 2.0,11/1/07,482072,53.7%,898203,11/18/07
Spain,Tri,10/20/06,1200282,32.1%,3741193,2/15/07
Sweden,Scanbox,12/15/06,46799,16.8%,278728,1/14/07
Switzerland,-,10/12/06,-,-,236209,11/19/06
Taiwan,-,9/23/06,88644,41.3%,214579,10/15/06
Thailand,-,1/4/07,19471,38.3%,50891,1/21/07
Turkey,Ozen Film,2/9/07,-,-,164424,4/5/07
Ukraine,Cent. Part.,9/29/06,56142,44.8%,125237,10/15/06
United Kingdom,Ent. Films,9/15/06,1065953,33.6%,3176305,10/8/06
