Country,Release Date,Opening Wknd,% of Total,Total Gross,As Of
Australia,12/26/01,-,-,489383,1/23/02
Austria,11/30/01,27476,100%,27476,12/2/01
Czech Republic,6/6/02,9827,21.9%,44772,7/7/02
Finland,4/19/02,-,-,58631,6/27/02
France,11/7/01,678792,40.2%,1686766,12/11/01
Germany,11/14/02,-,-,727484,12/12/01
Italy,11/30/01,-,-,1224714,2/7/02
Mexico,5/17/02,53749,34.8%,154626,7/11/02
Netherlands,2/28/02,40539,22%,183867,4/17/02
South Korea,5/3/02,-,-,20000,5/18/08
Spain,4/12/02,288953,19.3%,1497229,7/4/02
United Kingdom,10/26/01,609613,25.7%,2368064,1/6/02
